id	English	Japanese
TWITTER_WRONG_LOGIN	MAUVAIS UTILISATEUR OU MOT DE PASSE	
TWITTER_CONNECT_FAIL	ÉCHEC DE LA CONNEXION	
TWITTER_SIGN_IN_ONLY	SE CONNECTER	
TWITTER_SIGN_OUT_ONLY	SE DÉCONNECTER	
TWITTER_SIGNED_IN	VOUS ÊTES CONNECTÉ À TWITTER	
TWITTER_SIGNED_OUT	VOUS N'ÊTES PAS CONNECTÉ À TWITTER	
TWITTER_FILL_OUT	COMPLÉTEZ TOUS LES CHAMPS	
EPITAPH	IL N'Y A PLUS DE SECRETS DANS CES MARCHES MÉOTES	
FIGHT	COMBATTRE ?	
DARKMOON_COUNT_9	LUNE SOMBRE DANS 9 JOURS	
DARKMOON	LUNE SOMBRE	
BRIGHTMOON	LUNE CLAIRE	
DARKMOON_BEFORE_NUM	LUNE SOMBRE DANS 	
DARKMOON_AFTER_1	JOUR	
DARKMOON_AFTER_MORE	JOURS	
BRIGHTMOON_BEFORE_NUM	LUNE CLAIRE DANS 	
BRIGHTMOON_AFTER_1	JOUR	
BRIGHTMOON_AFTER_MORE	JOURS	
TIME_PARADOX	*PARADOXE TEMPOREL*	
ERRAND_END	VOTRE TRISTE ERRANCE ARRIVE À SON TERME.	
BEWARE_BOOR	ATTENTION AU VIEIL OURS MAL LÉCHÉ	
MOVE_CONTROLS	APPUYEZ & MAINTENEZ POUR BOUGER	
STOP_CONTROLS	TOC-TOC POUR ARRÊTER ?	
STOP_CONTROLS_ARROW	< < TOC-TOC POUR ARRÊTER ?	
SLAY	FRAPPER ?	
ZOOM_CONTROLS	< < <  ZOOMER ? > > >	
LOOK_CONTROLS	APPUYEZ, MAINTENEZ & GLISSEZ SUR L'AURA	
LOOK_CONTROLS_2	GLISSEZ POUR OBSERVER	
TONGUE_TEXT	DÉGAINEZ VOTRE ÉPÉE DE SCYTHE & MAINTENEZ-LA BIEN HAUT DANS L'ARC-EN-CIEL PENDANT QUELQUES SECONDES, ET AYEZ FOI	
TOUCH_HOLD	APPUYEZ & MAINTENEZ	
TOUCH_HOLD_ARROW_LEFT	< < APPUYEZ & MAINTENEZ	
TOUCH_HOLD_ARROW_RIGHT	APPUYEZ & MAINTENEZ > >	
TIP_TAP_QUESTION	TOC-TOC ?	
TIP_TAP_ARROW_LEFT	< < TOC-TOC	
TIP_TAP_ARROW_LEFT_Q	< < TOC-TOC ?	
TIP_TAP_ARROW_RIGHT	TOC-TOC > >	
RUB	SECOUEZ	
QUIT	SORTIE	
TAP_ARROW_LEFT	< < TOUCHEZ	
MOON_TIME_1	quelques instants auparavant	
MOON_TIME_2	il y a un petit moment	
MOON_TIME_3	il y a un moment	
MOON_TIME_4	à une époque lointaine	
MOON_TIME_5	il y a plusieurs lunes	
MOON_TIME_6	il y a très longtemps	
COSMIC_FRIENDS	NOUS SOMMES AMIS COSMIQUES POUR LA VIE MAINTENANT... D'ACCORD ?	
The Scythian	La Scythienne	
Girl	La Fille	
Logfella	Logfella	
Dogfella	Dogfella	
The Archetype	L'Archétype	
EXIT	SORTIE	
RESOLUTION	RÉSOLUTION	
RESET	RÉINITIALISER	
PROMPT_CONFIRM_QUIT	RETOURNER AU MENU ?	
APPLY	OK	
BACK	RETOUR	
ERRMSG_UNABLE_TO_SAVE	Impossible de sauvegarder	
ERRMSG_UNABLE_TO_DELETE	Impossible d'effacer	
ERRMSG_UNABLE_TO_DELETE_STEAM	Impossible d'effacer la sauvegarde Steam.	
ERRMSG_UNABLE_TO_SAVE_STEAM	Impossible de sauvegarder sur Steam.	
ERRMSG_CORRUPT_SAVE_PROGRESS	La sauvegarde est corrompue et ne peut être lue. Cliquez sur Ok pour la supprimer.	
PROMPT_CONFIRM_EXITGAME	VOULEZ-VOUS SORTIE LE JEU ?	
HASHTAG_SWORCERY	#sworcery	
DIGIT_STRING	"0123456789"	
HOLD_SHIELD_TO_HEAL	MAINTENEZ POUR SOIGNER	
EXIT_TITLE	Quitter #sworcery ?	
EXIT_PROMPT	Voulez-vous vraiment quitter ?	
