id	user	icon	portrait	English	Japanese	Notes	pic	Filenames	Codes	French	Italian	German	Spanish	7
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem		丸太さんは、石壁の扉を開ける鍵を;持って~いるのは自分しかいないのだと言った。									90
			AdventureUI/keyItem		すごくカッコイイ鍵だ。									33
					出立の準備は整った。;行き先に触れてそのまま~押し続ければ、;足はおのずと前へ前へ。									88
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem		丸太さんは私が絶世の大書を手に入れて;~戻るまでここで待つという。									94
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook			丸太さんは私が戻るまで、;~危難の崖近くで待つという。									107
					丸太さんは、石碑に刻まれた忌まわしき;虹と~空を向いた剣のことを知っている様子だ。									103
					だが丸太さんは見て見ぬふりを決め込んで~いる。;これから何をすればいいのだろうか？;~顔には出さなかったがイラッときていた。									124
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook			彼は恐ろしい怪物をみてしまったから、;~そいつの相手を私にさせようという;魂胆~なのだろう。		26	010.jpg	Q1B00					96
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem		絶世の大書を回収してきた。;丸太さんは~ナルハヤで;安全な山小屋まで帰りたいのか、~;はやる気持ちが足の歩みに出ていた。									105
					激しい雷雨が訪れる気配がした。;その瞬間、~心の中でかすかに歌が響き始めた。									74
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook			雷鳴が轟きだすと、丸太さんは;何やら~ひとかたならぬ恐怖を感じていると;~私に告げた。									114
					丸太さんは私をビビらせたかったのだろうか？ #たぶん									59
					何にしても、しばらくは;屋根のある所に~いたほうが良さそうだ。									72
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem		絶世の大書を手に入れた。;「何コレ、スゴイ」~とつぶやいてみる。 #絶世の大書入手		40	011.jpg	81C1E					55
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1											0
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1											0
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo												1
	The Archetype				紳士淑女の皆様ごきげんよう。;~まずは、ステレオの調子を;確認して~おきましょう。左右に漂う;小さな森の精を~タップしてもらえますか？									125
	The Archetype				ソーシャルネットワークサポートは;~「スキタイのムスメ：音響的冒剣劇」の;結果に~対し、重要な役割を果たすということが;~私どもの研究によって明らかとなっています。									117
					情報発信機能は選択肢の一つとして;~用意されているだけですから、;利用しなくても~構いません。;~それから、使い過ぎにはご注意を…									
					この度は、私ども主催による;~「タマシイの~重大疾患」に関する;~臨床研究にご参加いただきまして、~;誠にありがとうございます。									118
					「スキムス」の初回セッションは;非常に~シンプルなもので、;所要時間も~およそ１５～３０分程度です。									126
					ヘッドフォンを使われる方、;ご用意は~よろしいでしょうか？;準備が整ったら~プレイボタンをタップして;始めましょう。									54
ARCHETYPE_FOUNDATION	The Archetype				では、「スキタイのムスメ：音響的冒剣劇」の;~もたらす精神活性作用を有意義なものと;~するため、「心の状態」と;「環境」について;~お話ししましょう。									125
					ここでいう「心の状態」とは、本作を;体験~していく際の精神状態や人格構造のことを;~指します。状況に対する思考、感情の起伏、;~そして結果への期待などですね。									127
					私どもの研究によると、好奇心旺盛な方が;~リラックスした状態で体験する場合、;~「スキムス」を楽しんでいただける確率が~高い;との結果が出ています。									108
					「環境」は、第一に本作を体験する場所の;こと~ですね。快適で安全、心地よい部屋;~―もちろん野外でも結構ですが―~;が良いでしょう。									121
					また「環境」には、社会的側面も含まれます。;~私どもの研究によると、ソーシャル;~ネットワークサポートは極めて重要であるとの;~結果が出ています。									125
					そしてもちろん、文化的側面も含まれます。;~何を以て現実や正常とするかですね。;~この点については、;今は深入りしないことと~しましょう。									132
					「スキムス」は鮮烈な体験をお届けすること~;ではなく、いつもの日常から;あなたの精神を~解き放つことを目指して;開発されています。									125
					拡張された意識、あらゆる制限から;~解き放たれた精神の潜在能力…;~ここ、Superbrothersでは;それを~「ソーサリー」と呼んでいます。									131
					ソーサリーの歌を歌うと、;自分の考えている~通りに現実が;見えるようになります。;~超能力のようなものですね。									130
					ソーサリーの歌をやめるには、;~スキタイのムスメの周囲を包むソーサリーの;~オーラをトントンと叩いてみてください。									108
					歌が始まったら、指先で触れたまま移動して、;~色々なものにオーラを当ててみてください。									113
					ソーサリーの歌を始めるには、;~まずスキタイのムスメに触れ続けます。;~これで、ソーサリーのオーラが;集まり~始めます。									129
					ご覧の通り、絶世の大書は;あらゆる思考を~収集して言語的に記述します。;下にスクロール~すれば、;私の思考をさかのぼって読めますよ。;									128
ARCHETYPE_MEGATOMETUTORIAL	The Scythian		adventureUI/megatomeItem		「見事にソーサリーの歌を習得しましたね。;~これであなたは、絶世の大書が秘める;~深淵なる力を手に入れたわけです」		47	012.jpg	31E2F					115
			adventureUI/megatomeItem		「絶世の大書はあらゆる思考を言語化して;~記録します。あなたが果たすべき使命を;~やり遂げるために必要な知識は、すべて;~その中に見つけることができるはずです」									131
			adventureUI/megatomeItem		「ふと思いついたんですが…;絶世の大書を~開いて私の項目を引き、;今私が考えている~ことを;調べてみるのはどうでしょうか？」									122
					「右上に白い三角形がありませんか？;~それをタップしてから絶世の大書を手に取り、;~向きを変えてみてください。;すべてが明らかに~なるはずです」									125
LOGFELLA_STORM	The Scythian				ひどい嵐が来たので、;丸太さんは薪割りを~諦めたようだ。 #ブーツずぶ濡れ									101
			adventureUI/megatomeItem		丸太さんは、私がミンギ・トウの奥地から;~絶世の大書を持ち出した直後に;嵐がやって~来たと言った。									125
					丸太さんのあからさまな物言いから察するに、;~おそらく私は嵐を止めるために;何かしたほうが~良いのだろう。 #たぶん									113
GIRL_STORM	The Scythian				オトメちゃんと呼ばれる黒髪の少女も;~悲しそうだ。									=LEN({})
			gourd/gourd		どうも嵐が来て以来、;近くの森に眠る森の精が~「こだまの泡」を;噴きはじめたという。									117
			gourd/gourd		オトメちゃんは、森の精が３匹集まれば;~きっと嵐を鎮められる、;と信じているようだ。									78
			gourd/gourd		小屋の前にある大きな池にもこだまの泡が;~立ち上っているから、;調べてほしいと~頼まれた。									101
			gourd/gourd		オトメちゃんによれば、近くの草原と、;~それから雨に濡れた３羽のツグミが;身を~寄せていた巣箱のところでも;こだまの泡が~立ち上っているのを見たという。									125
			gourd/gourd		どうやら彼女は、;この３か所でこだまの泡を~探し、;ソーサリーの歌で空に還してほしいと;~願っているようだ。									121
ARCHETYPE_SWORCERY	The Archetype				「ついにソーサリーの歌を習得する時が;~来ました。これは意識を拡張させて、;~音楽の力で内に眠る神秘的な力を;引き出す~手法です」									127
			gourd/gourd		「落ち着いて私の指示をよく聞いてください。;~これから池で静かに眠る森の精を;~召喚します」									129
ARCHETYPE_TADPOLES	The Archetype				あの変な格好の男が我々に何かして;欲しがって~いるのは間違いなさそうです。;~何を期待してるのかは謎ですが。									112
			gourd/gourd		「池にあるこだまの泡は見ましたか？;~森の精はあそこでグッスリ眠っています。;~何とかして召喚しないといけませんね」									118
			gourd/gourd		ソーサリーの歌を始めるには、;~スキタイのムスメに触れ続けてください。;~これで、隠された現実の扉が;開かれるはずです。									124
			gourd/gourd		「池で泳いでいるモノを２匹、;森の精が~寝ている場所へ導いてください。;後は起こした~森の精に３度触れば;空に還せます」		49	013.jpg	61D3A					132
GIRL_LOSTKEY	The Scythian				井戸を覆う立派な屋根の下でオトメちゃんが;~雨宿りしている。									81
					小屋の焚き火にあたっていれば;温かい~だろうに…どうも丸太さんが;えらく~取り乱しているようだ。									120
INFO_BIRDEYESCULPTURE	The Scythian				草原を見下ろすように;「怒れる鳥」の像が~あった。 #あのゲーム		6	014.jpg	F1D48					75
INFO_MEADOWSHEEP	The Scythian				草原では、羊が何頭か草を食べていた。;~どうということのない景色だ。									75
INFO_CABINSHEEP	The Scythian				またしても羊のどうということのない景色。;~私は何で羊を眺め続けてるんだろう？									74
INFO_MEADOWSUN	The Scythian				春の日に降り注ぐ日光の清々しさ… ;~今でも鮮明に思い出せる。									87
INFO_MEADOWGATE	The Scythian				草原には洞くつへ続く道があった。;だが分厚い~鉄の扉に遮られて入ることは;できなかった。									73
INFO_MEADOWGATEACTIVE	The Scythian				草原には洞くつの入口を塞ぐ鉄の扉がある。;~やり方さえ分かれば;開けられるような~気がした…;当たり前か。									
INFO_MEADOWGATETRIGONACTIVE	The Scythian				扉の上にはトライゴン的な形をした;黄金色の~何かがあった。;ソーサリーの歌に反応する~かも…？									102
INFO_MEADOWGATETRIGON	The Scythian				鉄扉の上部にはなんか変なモノがついている。									43
INFO_LOCKEDDOORSTONEWALL	The Scythian				ミンギ・トウの古道に続く石壁の扉は;~閉じられたままだ。;どうも丸太さんは;夢の中に~鍵を落としてきたようだ。									106
INFO_LOOMINGBIRDSCULPTURES	The Scythian				草原を見下ろすように;「怒れる鳥」の像が~あった。 #あのゲーム									75
INFO_MEADOWSUNSTICK	The Scythian				草原を監視するかのように変な形の棒が;~立っていた。									54
INFO_CABINWELL	The Scythian				がっしりとした屋根に覆われた見事な作りの;~井戸があった。									61
INFO_CABINCHIMNEY	The Scythian				深く澄んだ池のほとりに、;しっかりとした~作りの山小屋があった。									85
INFO_CABINWOODPILE	The Scythian				薪木が山のように積み重ねてある。;~まあ、普通の光景だ。									50
INFO_SPUME	The Scythian				こだまの泡を見つけた。;ここに森の精が~眠っているのか。;~さて…どうやって召喚すれば？									92
INFO_NESTBOX	The Scythian				変わった形をした巨大な巣箱だ。;~「つぶやけば、さらばつぶやき返されん」;~と碑文が~刻まれている。		13	015.jpg	B1C5F					102
INFO_NESTBOXWEATHERED	The Scythian				古びた巣箱だ。どことなく顔っぽく見える。									85
INFO_FLAGPOLELOGBRIDGE	The Scythian				古道にかかる長い橋の手前に、;いかめしい~骸骨のような物が飾り付けられた;不気味な~旗竿が立っていた。									93
INFO_GOLDTRIGONALTAR	The Scythian				草原から洞くつを抜け、たどり着いたのは;~ひっそりとした森だった。;いくつかあった~石碑から;不思議なオーラを感じた。									116
			Archetype/trifecta		…これが…トライゴンの森なのか？ #トライゴンの森		93	016.jpg	B1D6J					43
			triangle/Triangle		一番近くにある石碑の前に立つと、;~黄金のトライゴンのことが頭に浮かんだ。;~剣が…震えた気がする。									101
INFO_DARKTRIGONALTAR	The Scythian				トライゴンの森には、;風雨にさらされ~古くなった石碑があった。 #暗月のトライゴン									96
					この石碑、;剣を打ち付けたらどうなる~だろう…？									78
INFO_BRIGHTTRIGONALTAR	The Scythian				トライゴンの森には、;明月を表す円が刻まれた~石碑があった。 #明月のトライゴン									127
					この石碑、;剣を打ち付けたらどうなる~だろう…？									78
INFO_STONEHEAD	The Scythian				岩を削り出したのだろうか？;危難の崖には~見覚えのある形をした、;巨大な頭の像が~あった。;口はポカンと開いている。		24	017.jpg	61B76					101
INFO_STONEHEADSHUT	The Scythian				岩を削り出したのだろうか？;危難の崖には、~見覚えのある形をした;巨大な頭の像があった。									84
INFO_STONEHEADFLAGPOLE	The Scythian				岩の頭像の上には、;いかめしい骸骨のような~物が飾り付けられた;不気味な旗竿が~立っていた。									121
INFO_CHASMSTONESHELTER	The Scythian				危難の崖近くには;支石墓のように石が積み~上げられ、;座り心地の良さそうな２つの石を;~雨から守っている。		25	018.jpg	O1C8M					119
INFO_SKULLPOLE	The Scythian				オンボロ橋の端には;角つきの骸骨を~飾りつけた、;不気味な棒が突き立ててある。									83
INFO_TRIFECTASYMBOL	The Scythian				石造りの寺院入り口に、;トライ~ゴン・トライフェクタを表す;象形文字が刻まれていた。									111
INFO_MOUNTAINGATE	The Scythian				山岳寺院の奥深くで、;固く閉ざされた~鉄の扉を見つけた。;ここを進めば~ミンギ・トウからの眺望が;堪能できそうだが。									125
INFO_MOUNTAINGATETRIGON	The Scythian				山岳寺院の奥深くにある通路の上で、;~三角形のような形が３つ並んだ;不思議な印を~見つけた。									97
INFO_MOUNTAINGATETRIGONACTIVE	The Scythian				山岳寺院の奥深くにある通路の上で、;~トライゴン・トライフェクタのしるしを;~見つけた。									97
INFO_CABINRECORD	The Scythian				山小屋の中に入ると、;暖炉の上に小さな~円盤のような、;よく分からないものがあるのに~気付いた。 #theballadofthespacebabies		46	019.jpg	P1D99					102
INFO_CABINHEARTH	The Scythian				山小屋に入ると、;暖炉の火が静かに暖かく~迎えてくれた。									69
INFO_CABINSEAT	The Scythian				山小屋には、;木を削り出しただけの粗末な~椅子が;暖炉を囲むようにふたつ置いてあった。									78
INFO_GOGOLITHICMASS	The Scythian				ミンギ・トウの奥底に来ると、;角を生やした~骸骨が暗闇に浮かんでいた。									70
INFO_MEGATOMBTRIFECTA	The Scythian				ミンギ・トウの奥底に来ると、;暗闇の中にトラ~イゴン・トライフェクタを表す;象形文字が刻ま~れていた。									96
INFO_ROCKSHOWGIRL	The Scythian				ロックフェスのステージの上に;黒髪の少女が~立っている。彼女の口から;「炎よ、我とともに~歩め」;と聞こえた気がした。 #最期の７日間									91
INFO_ROCKSHOWSKOLOTOI	The Scythian				ステージにはあの骨のヒトたちも来ていた。;~彼らもビートに揺られたいのだろうか。									83
INFO_ROCKSHOWJIM	The Scythian				ステージのメインアクトは、;あなたも知って~いる謎のミュージシャン、;ジム・ガスリー~だった。 #サントラリミックスアルバム絶賛発売中♡		160	020.jpg	T2G03					96
INFO_ROCKSHOWBOOR	The Scythian				ステージの上では、;野性むきだしでクマズリー~が踊っている。		121	021.jpg	E2G15					69
INFO_ROCKSHOWCROWD	The Scythian				ステージには、;多くの紳士淑女が~集まっていた。									66
INFO_ROCKSHOWARCHETYPE	The Scythian				ステージには;例の「アーキタイプ」とよばれる~男もいた。;一体彼は何者で、何をしているの~だろうか？									120
INFO_TRIGONGROVESKULLSTICK	The Scythian				角つき骸骨の飾りをつけた不気味な棒が;~突き立ててある。;ミンギ・トウの奥に潜む~不死の亡霊と、;この場所をつないでいるのだ。									119
GRAVE_TRIGONGROVE	The Scythian				草原の奥にある洞くつを抜け、;トライゴンの~森へ来た。;誰かの墓がぽつんと立っている。;~私は少し興味を覚え、近づいてみた。									125
GRAVE_TRIGONGROVEGHOST	The Scythian				草原の奥にある洞くつを抜け、;トライゴンの森~へ来た。;誰かの墓がぽつんと立っている。ぼん~やりと;光る幽霊のおじさんに会った場所だ。									126
					正直、このおじさんを初めて見たときは;マジで~ビビった。		96	022.jpg	T2B2H					88
			adventureUI/megatomeItem		おじさんは私の服装から;スキタイ人だと~分かったようだった。;私が絶世の大書を~持っているのに気づくと;「書いてあることが~分かるか」と尋ねた。									129
					そして私がミンギ・トウの奥で;目覚めさせて~しまった不死の亡霊の名前を;そっと~教えてくれた。;~その名は「ゴゴリチク・マス」。		166	023.jpg	O2B39					125
					言い伝えに残る、おぞましき名だ。;~背筋に冷たいものが走った。									76
					「さっきまでは、ゴゴリチク・マスも;君を~興味本位の旅人だと思っていた;だろうけど」									92
			triangle/Triangle		「君はもうソーサリーの歌を覚えて;黄金の~トライゴンを従えた。;これより先はずっと;~不吉な影に付きまとわれることになるね」									116
					このおじさんは、;私を励ましてくれて~いるのか、;脅かそうとしているのかよく~分からない。									89
					私は幽霊のおじさんに、;ミンギ・トウの頂上で~絶世の大書を塵とし、;ゴゴリチク・マスから~不死の力を奪うつもり;であることを伝えた。									127
			Archetype/trifecta		次にトライゴン・トライフェクタと;残り２つの~トライゴンの場所についても;聞いてみたが、~おじさんの答えは;腹立たしいほど~漠然としていた。									121
					「残りのトライゴンは;どちらも山の民の~夢の中にだけ存在する」		43	024.jpg	82E45					78
					「トライゴンを探すなら、場所じゃなくて;~タイミングと手段に留意しなさい」									96
					このおじさん、光ったりできるくせに、;~役に立たない事ばかりを実に長々としゃべる。									65
GRAVE_LOGBRIDGE	The Scythian				古道の路傍の茂みの中に、;いくつかの墓が~あった。;何があったのだろうか。									109
GRAVE_LOGBRIDGEGHOST	The Scythian				古道の路傍の茂みの中に、;いくつかの墓が~あった。;フレンドリーな幽霊のいる場所だ。		116	025.jpg	62B55					120
					ぼんやりと光る幽霊が話しかけてきたが、;~その姿はいにしえの伝説にある;「人間山脈」~そのものだった。 #アンドレ									117
			Archetype/trifecta		「あれは去年の冬至前くらいだったか、;俺は~再びトライゴン・トライフェクタを;探すべく、~仲間に集合をかけた」									104
					「無限の渦への入り口がミンギ・トウの;頂上に~あると聞いたもんだから、;ちょっと見てみたく~なってな」									131
			triangle/Triangle		「で、俺らは何とか黄金のトライゴンを従え、;~トライゴンの森を調査し、;明月のトライゴンを~探し始めた」									124
					「だが明月のトライゴンはまるで;見つから~なかった。;正直、手がかりはゼロだった」									91
					「だがしばらく探るうちに、;ここらに眠る~森の精は;月の満ち欠けの影響を強く受ける~ことを;発見したんだ」									125
					「ここに留まり始めたのもそのためさ。;月を~見て、いつどこで何をすべきかを;調べて~いたんだよ」		7	026.jpg	Q2D6P					114
					「つまんなくて死にそうだったぜ、;ひたすら~月の満ち欠けばかり気にしてなあ」									76
					「まあ、結局俺らは死んだわけだが。;原因は…;~ちょっとしたいざこざのせいだった」									75
					「今はこの話はしないでおくぜ。いいだろ？」									68
					「…とどのつまり、仲間の一人が;ズル~してるのを、俺たちは見ちまったんだ。;~あのズル野郎め」									102
					「そこでちょっとケンカが始まってな、;~ズル野郎は危難の崖の方へ逃げやがった」									99
					「それで今後について相談しながら;歩いて~たら、;突然ゴゴリチク・マスが現れて…~ギャー！;ってわけだ」		113	027.jpg	62B75					123
GRAVE_CHASM	The Scythian				危難の崖の崖際に、;ぽつんと一基だけ~墓がある。;何があったのだろうか。									102
GRAVE_CHASMGHOST	The Scythian				危難の崖近くにある墓は、;話に出てきた~イカサマ男の墓だった。;ここでもやはり、;~ぼんやり光る年老いた幽霊が出た。									115
			Archetype/trifecta		「あれは去年の冬至前だったか、;巨人の~アンドレは;トライゴン・トライフェクタを~探すため、;俺や仲間を引き連れてやって~きたんだ」									117
					「他の者達は古道沿い、;丸太橋近くの茂みに~埋葬されてるよ」									107
			triangle/Triangle		「俺らも黄金のトライゴンを;見つけて従える~までは順調だったんだが、;その後は完全に~手詰まりだった」									100
					「あの時は、明月のトライゴンを;見つける~ために;月が満ちるのを待っていたんだ」									128
					「でもアンタ、そんなの;アホみたいに~退屈すぎるだろう！;明月まで何日もダラダラと~待てるかっての！」									116
					「だから他のアホどもがボケーっと;してる~間に、;俺は一人で独自に調査を進めて、;~満ち欠けの謎を解いたんだ」									101
					年老いた幽霊は、;ホームボタンを押してから~「設定」を;タップする方法を得意げに説明~した。									118
					幽霊によれば、一般オプションの;日付と時刻を~いじると月は変えられるが、;その代償は大きい~という。									99
					「思わずいじってしまって以来;~ビビっちゃってね、;死ぬほど恥ずかしがって~たら、;本当に死んじまったよ」									126
GRAVE_HOLLOW	The Scythian				巨大樹は空洞化しており、中にはポツンと;~墓があった。;誰が眠っているのだろうか。									94
GRAVE_HOLLOWGHOST	The Scythian				巨大樹の内側にさびしげな墓がある。;~ここに眠るいかつい幽霊が;有用な情報を~教えてくれた。		117	028.jpg	E2A80					110
					「月の満ち欠け、お前気にかけ、;~それがきっかけ、未来への道行け♪」									76
					「俺の見かけ、普段着なだけ、;~怖がらせるわけないわけ、;~それだけは知っとけ♪」									114
GRAVE_HOLLOWGHOSTSPRITES	The Scythian				空洞化した巨大樹の中にある;寂しげな墓に~近寄ると、;ドープな幽霊が現れて;~イルなライムを届けてくれた。		117	028.jpg	E2A80					110
					「ここに来るまでの道、探し出して吉、;~目と耳使えばこだまの泡キャッチ♪」									101
					トータル５匹の森の精、;~皆、空へ還せば奇跡 you say、;~んでトライゴン発見、冒険発展♪									100
GRAVE_HOLLOWGHOSTTRIGON	The Scythian				空洞化した巨大樹の中にある;寂しげな墓に~近寄ると、;ドープな幽霊が現れて;~イルなライムを届~けてくれた。		117	028.jpg	E2A80					111
					「お前トライゴンにご執心、;~森の精を全員見つけりゃ躍進、;~そしたらソーサリーの歌を sing♪」									106
GRAVE_HOLLOWGHOSTTRIGONCOMPLETE	The Scythian				空洞化した巨大樹の中にある;寂しげな墓に~近寄ると、;ドープな幽霊が現れて;~イルなライムを届けてくれた。		117	028.jpg	E2A80					120
					「トライゴンの歌、今回はもう終了、;~次の機会を待ち続けている YO♪」									84
LOGFELLA_LOSTKEY	The Scythian				丸太さんは、やたら取り乱している。;~どうしたのだろうか。									79
			AdventureUI/keyItem		どうやら丸太さんは;ミンギ・トウへ通じる~石壁の扉の鍵を;なくしてしまったようだ。									113
					私としてはおつかいクエストはもう勘弁だ。;~あなたもそうでしょ？									51
					丸太さんが言うには、;彼はずっとここに座って~熟睡していたそうだ。									98
			AdventureUI/keyItem		彼は夢の中で鍵をなくしてしまったと;~考えていた。									77
					コーカサス地方の山の民が奇妙な夢を見る;~という話は聞いたことがあったので、;その話は~素直に理解できた。									120
					丸太さんは、とにかく靴を暖炉で温めながら、;~ここで一緒に夢を見ないかと誘ってきた。		63	029.jpg	U2C92					73
ARCHETYPE_LOSTKEYTHOUGHTS	The Archetype				私たちは覚醒していることと、;~夢の伝承詩的精神宇宙性は;全く異なる状態だと~考えていますが、;両者は興味深い相互作用を~見せるのですよ。									130
					境界域というのは、覚醒状態と夢の中;~―つまり方向性を持った思考ができない状態―;~の中間を指します。		56	030.jpg	13A0A					108
					暖かな暖炉を探して眠りにつき、;~その境界域に足を踏み入れてみてください。									81
ARCHETYPE_LOSTKEYCLUE	The Archetype		AdventureUI/keyItem		山小屋の暖炉にあたって、境界域におもむき、;~丸太さんがなくした鍵を見つけてあげる、;~なんていかがです？		55	031.jpg	23C1X					115
GIRL_LOSTKEYTHOUGHTS	Girl	AdventureUI/tweetIconGourd			うわー。丸太さんが;やたら~取り乱しちゃってる…;何かあったのかな？;~落ち着くまで外にでてようか…。									118
					この間、あのスキタイのムスメが;ソーサリーの~歌で森の精を;空に還しているのを見た。~あのヒト、;もしかしたら嵐を止めてくれるの~かな…？									129
LOGFELLA_MORELOSTKEYTHOUGHTS	Logfella				あのスキタイのムスメ、;「夢歩き」にまで~行ってくれた。;きっと鍵を見つけてくれる~だろう。;落としたのは穏やかな池のほとり~だったか…		62	032.jpg	U3A20					109
LOGFELLA_LOSTKEYTHOUGHTS	Logfella				ハア、雨が降ってなかったらなあ…;~靴さえ濡れてなかったらなあ…;~薪割り作業に戻れたらなあ…									121
					ウァー！？鍵が、鍵がない！！;どうしよう！~やばい！やばい！困った！									89
LOGFELLA_FOUNDKEY	The Scythian		AdventureUI/keyItem		私が夢を歩いて鍵を見つけてきたと知ると、;~丸太さんはホッと安心したようだった。									111
					丸太さんは;「どうしてあなたはそんなに~賢いのだ？;果たすべき使命とは？」;と~質問してきた。									95
					私は丸太さんに、;我らが大草原を支配してきた~歩みや、;スキタイ戦士の勇猛さについて~語った。									110
					そして私がこんな山地にたどり着いたのも、;~全知全能の神の手に導かれてきたからなのだ;~と教えた。									123
			adventureUI/megatomeItem		それから絶世の大書の解読できていない;印の~意味について、;私が推測している内容も~伝えた。									97
			gourd/gourd		私はさらに;「森の精を召喚すれば嵐を~止められるはず」;と根拠もなく直感的に~言った。		104	033.jpg	W3D3G					86
			triangle/Triangle		そして私はひそひそ声で、;この宇宙の姿を~象徴する存在である;黄金のトライゴンを~探し出し、;従えるつもりなのだと明かした。									123
					この頃になると、丸太さんは;まるっきり~私の話を聞いていなかった。									83
			AdventureUI/keyItem		とにかく見つけた鍵を借りて、;古道を進む~ことにした。									98
LOGFELLA_FOUNDKEYWAKEUP	The Scythian		AdventureUI/keyItem		丸太さんに鍵を借りておいていいかと;~尋ねると、彼は「かまわねえ」と答えた。									98
